[12:29:38] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 95.2/0.0 (S: 95.2/0.0) | Tav: 1.1
[12:29:39] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 93.8/0.0 (S: 93.8/0.0) | Tav: 1.1
[12:29:40] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 92.5/0.0 (S: 92.5/0.0) | Tav: 1.1
[12:29:40] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 91.2/0.0 (S: 91.2/0.0) | Tav: 1.1
[12:29:41] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 88.9/0.0 (S: 88.9/0.0) | Tav: 1.1
[12:29:41] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 84.9/0.0 (S: 84.9/0.0) | Tav: 1.1
[12:29:42] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 83.6/0.0 (S: 83.6/0.0) | Tav: 1.1
[12:29:42] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 82.3/0.0 (S: 82.3/0.0) | Tav: 1.1
[12:29:43] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 80.0/0.0 (S: 80.0/0.0) | Tav: 1.1
[12:29:44] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 78.7/0.0 (S: 78.7/0.0) | Tav: 1.1
[12:29:45] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 77.3/0.0 (S: 77.3/0.0) | Tav: 1.1
[12:29:45] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 76.0/0.0 (S: 76.0/0.0) | Tav: 1.1
[12:29:46] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 74.7/0.0 (S: 74.7/0.0) | Tav: 1.1
[12:29:47] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 73.4/0.0 (S: 73.4/0.0) | Tav: 1.1
[12:29:47] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 72.1/0.0 (S: 72.1/0.0) | Tav: 1.1
[12:29:48] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 70.7/0.0 (S: 70.7/0.0) | Tav: 1.1
[12:29:49] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 69.4/0.0 (S: 69.4/0.0) | Tav: 1.1
[12:29:49] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 68.1/0.0 (S: 68.1/0.0) | Tav: 1.1
[12:29:50] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 66.8/0.0 (S: 66.8/0.0) | Tav: 1.1
[12:29:50] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 65.5/0.0 (S: 65.5/0.0) | Tav: 1.1
[12:29:51] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 64.1/0.0 (S: 64.1/0.0) | Tav: 1.1
[12:29:51] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 62.8/0.0 (S: 62.8/0.0) | Tav: 1.1
[12:29:52] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 61.5/0.0 (S: 61.5/0.0) | Tav: 1.1
[12:29:52] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 60.2/0.0 (S: 60.2/0.0) | Tav: 1.1
[12:29:53] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 58.9/0.0 (S: 58.9/0.0) | Tav: 1.1
[12:29:53] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 57.5/0.0 (S: 57.5/0.0) | Tav: 1.1
[12:29:54] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 56.2/0.0 (S: 56.2/0.0) | Tav: 1.1
[12:29:55] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 54.9/0.0 (S: 54.9/0.0) | Tav: 1.1
[12:29:55] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 53.6/0.0 (S: 53.6/0.0) | Tav: 1.1
[12:29:56] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 52.3/0.0 (S: 52.3/0.0) | Tav: 1.1
[12:29:56] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 50.9/0.0 (S: 50.9/0.0) | Tav: 1.1
[12:29:57] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 49.6/0.0 (S: 49.6/0.0) | Tav: 1.1
[12:29:57] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 48.3/0.0 (S: 48.3/0.0) | Tav: 1.1
[12:29:58] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 47.0/0.0 (S: 47.0/0.0) | Tav: 1.1
[12:29:58] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 45.7/0.0 (S: 45.7/0.0) | Tav: 1.1
[12:29:59] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 44.3/0.0 (S: 44.3/0.0) | Tav: 1.1
[12:29:59] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 43.0/0.0 (S: 43.0/0.0) | Tav: 1.1
[12:30:00] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 41.7/0.0 (S: 41.7/0.0) | Tav: 1.1
[12:30:00] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 40.4/0.0 (S: 40.4/0.0) | Tav: 1.1
[12:30:01] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 39.1/0.0 (S: 39.1/0.0) | Tav: 1.1
[12:30:01] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 37.7/0.0 (S: 37.7/0.0) | Tav: 1.1
[12:30:02] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 36.4/0.0 (S: 36.4/0.0) | Tav: 1.1
[12:30:02] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 35.1/0.0 (S: 35.1/0.0) | Tav: 1.1
[12:30:03] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 33.8/0.0 (S: 33.8/0.0) | Tav: 1.1
[12:30:03] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 32.5/0.0 (S: 32.5/0.0) | Tav: 1.1
[12:30:04] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 31.1/0.0 (S: 31.1/0.0) | Tav: 1.1
[12:30:05] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 29.8/0.0 (S: 29.8/0.0) | Tav: 1.1
