[00:09:13] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.5
[00:09:13] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[00:09:15] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:09:16] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.0
[00:09:16] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-3.9) | E/P: 120.9/0.0 (S: 120.9/0.0) | Tav: 1.1
[00:09:18] Edie_Morra sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 85.3/0.0 (S: 85.3/0.0) | Tav: 0.7
[00:09:19] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.0
[00:09:20] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:09:20] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.9
[00:09:20] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:09:21] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.4
[00:09:24] Edie_Morra sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 84.0/0.0 (S: 84.0/0.0) | Tav: 0.8
[00:09:24] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:09:24] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:09:25] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:09:25] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[00:09:26] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.0
[00:09:26] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.3
[00:09:27] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.5
[00:09:28] Edie_Morra sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 82.7/0.0 (S: 82.7/0.0) | Tav: 0.8
[00:09:28] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.0
[00:09:29] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 129.0/3.6 (S: 129.0/3.6) | Tav: 1.3
[00:09:30] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-2.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.4
[00:09:30] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.2
[00:09:30] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:09:34] Jim_Handerson sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-6.6) | E/P: 120.9/0.0 (S: 120.9/0.0) | Tav: 0.9
[00:09:58] Edie_Morra sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 81.4/0.0 (S: 81.4/0.0) | Tav: 0.7
[00:09:58] Edie_Morra sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 80.0/0.0 (S: 80.0/0.0) | Tav: 0.9
[00:10:09] Oliver_Aciano sebzest kapott tole: Daniel_Gatsby | sebzes: Ököl (-1.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 0.7
[00:10:10] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 126.0/1.6 (S: 126.0/1.6) | Tav: 1.3
[00:10:10] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 126.0/0.3 (S: 126.0/0.3) | Tav: 0.7
