[00:11:59] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.0
[00:12:00] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.1
[00:14:10] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.4
[00:14:39] Nelson_Washington sebzest kapott tole: Ryan_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.6
[00:14:47] Nelson_Washington sebzest kapott tole: Ryan_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/98.6 (S: 150.0/98.6) | Tav: 0.7
[00:20:45] Amos_Toretto sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/95.0 (S: 150.0/95.0) | Tav: 0.5
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.8
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.8
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.9
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.9
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.9
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.1
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.1
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.1
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.1
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.1
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.2
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.2
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.3
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.3
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.4
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.5
[00:22:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Fire (-0.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.6
[00:22:46] Marcel_B_Hollywood sebzest kapott tole: George_B_Hollywood | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.0
[00:22:46] George_B_Hollywood sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.0
[00:22:46] Marcel_B_Hollywood sebzest kapott tole: George_B_Hollywood | sebzes: MP5 (-8.2) | E/P: 150.0/91.7 (S: 150.0/91.7) | Tav: 5.2
[00:22:46] George_B_Hollywood sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/80.0 (S: 150.0/80.0) | Tav: 5.2
[00:23:12] George_B_Hollywood sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/80.0 (S: 150.0/80.0) | Tav: 119.2
[00:30:20] Marcel_B_Hollywood sebzest kapott tole: Max_Sorrentino | sebzes: MP5 (-8.2) | E/P: 145.2/83.5 (S: 145.2/83.5) | Tav: 4.6
[00:30:20] Max_Sorrentino sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 29.4
[00:30:21] Max_Sorrentino sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 29.4
[00:30:21] Max_Sorrentino sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 29.2
[00:30:21] Max_Sorrentino sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 29.2
[00:30:22] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 3.7
[00:30:22] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 3.6
[00:30:22] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/20.0 (S: 150.0/20.0) | Tav: 3.5
[00:30:23] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.8
[00:30:23] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.8
[00:30:23] Max_Sorrentino sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 29.2
[00:30:23] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 5.0
[00:30:23] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 5.1
[00:30:24] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 5.1
[00:30:24] Max_Sorrentino sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 29.3
[00:30:24] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 5.1
[00:30:24] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 5.0
[00:30:50] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 125.2/0.0 (S: 125.2/0.0) | Tav: 1.2
[00:30:55] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 117.8/0.0 (S: 117.8/0.0) | Tav: 1.2
[00:31:25] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 105.6/0.0 (S: 105.6/0.0) | Tav: 1.1
[00:31:26] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 104.0/0.0 (S: 104.0/0.0) | Tav: 1.1
[00:31:26] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 97.4/0.0 (S: 97.4/0.0) | Tav: 1.1
[00:31:27] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 97.4/0.0 (S: 97.4/0.0) | Tav: 1.1
[00:31:27] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 97.2/0.0 (S: 97.2/0.0) | Tav: 1.1
[00:31:27] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 90.6/0.0 (S: 90.6/0.0) | Tav: 1.1
[00:31:31] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 89.8/0.0 (S: 89.8/0.0) | Tav: 1.1
[00:31:31] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 89.8/0.0 (S: 89.8/0.0) | Tav: 1.1
[00:31:32] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 83.2/0.0 (S: 83.2/0.0) | Tav: 1.1
[00:31:32] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 76.4/0.0 (S: 76.4/0.0) | Tav: 1.1
[00:31:32] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 76.4/0.0 (S: 76.4/0.0) | Tav: 1.1
[00:31:33] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 76.4/0.0 (S: 76.4/0.0) | Tav: 1.1
[00:31:38] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 75.4/0.0 (S: 75.4/0.0) | Tav: 1.2
[00:31:38] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 75.4/0.0 (S: 75.4/0.0) | Tav: 1.2
[00:31:39] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 68.6/0.0 (S: 68.6/0.0) | Tav: 1.2
[00:31:39] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 62.0/0.0 (S: 62.0/0.0) | Tav: 1.2
[00:31:39] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 55.4/0.0 (S: 55.4/0.0) | Tav: 1.2
[00:31:40] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 48.6/0.0 (S: 48.6/0.0) | Tav: 1.2
[00:31:40] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 42.0/0.0 (S: 42.0/0.0) | Tav: 1.2
[00:31:41] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 35.4/0.0 (S: 35.4/0.0) | Tav: 1.2
[00:31:41] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 28.6/0.0 (S: 28.6/0.0) | Tav: 1.2
[00:31:41] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 22.0/0.0 (S: 22.0/0.0) | Tav: 1.2
[00:31:49] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 14.0/0.0 (S: 14.0/0.0) | Tav: 1.2
[00:31:49] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 14.0/0.0 (S: 14.0/0.0) | Tav: 1.2
[00:31:49] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 14.0/0.0 (S: 14.0/0.0) | Tav: 1.2
[00:31:50] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 13.8/0.0 (S: 13.8/0.0) | Tav: 1.2
[00:31:50] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 7.2/0.0 (S: 7.2/0.0) | Tav: 1.2
[00:31:50] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: Ököl (-6.6) | E/P: 0.6/0.0 (S: 0.6/0.0) | Tav: 1.2
[00:32:40] Dominic_Vincenzo sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 19.0
[00:36:03] Marcell_O_Neill sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 160.9
[00:36:07] Ryan_Brasco sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 120.0/98.6 (S: 120.0/98.6) | Tav: 30.6
[00:36:22] Krisztofer_Vincenzo sebzest kapott tole: Grew_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 28.0
[00:36:27] Krisztofer_Vincenzo sebzest kapott tole: Grew_Brasco | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 27.7
[00:37:47] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:37:50] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:37:50] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:37:50] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 10000.0
[00:37:50] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:37:51] Krisztofer_Vincenzo sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 147.3/0.0 (S: 147.3/0.0) | Tav: 10000.0
[00:37:51] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:37:51] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[00:38:16] Johan_B_Black sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 7.2
[00:38:16] Johan_B_Black sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 7.5
[00:38:17] Johan_B_Black sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 135.0/0.0 (S: 135.0/0.0) | Tav: 7.6
[00:38:17] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 11.9
[00:38:17] Johan_B_Black sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 95.0/0.0 (S: 95.0/0.0) | Tav: 12.3
[00:38:18] Max_Sorrentino sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 15.6
[00:38:18] Johan_B_Black sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 55.0/0.0 (S: 55.0/0.0) | Tav: 11.5
[00:38:19] Johan_B_Black sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 35.0/0.0 (S: 35.0/0.0) | Tav: 6.0
[00:38:19] Johan_B_Black sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 14.8/0.0 (S: 14.8/0.0) | Tav: 14.9
[00:38:19] Johan_B_Black sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 14.8/0.0 (S: 14.8/0.0) | Tav: 5.6
[00:38:19] Johan_B_Black sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 14.8/0.0 (S: 14.8/0.0) | Tav: 14.9
[00:38:19] Johan_B_Black sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 14.8/0.0 (S: 14.8/0.0) | Tav: 5.6
[00:38:20] Johan_B_Black sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 14.8/0.0 (S: 14.8/0.0) | Tav: 14.9
[00:39:09] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.2
[00:39:12] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 11.0
[00:39:13] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 13.8
[00:39:13] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 135.0/0.0 (S: 135.0/0.0) | Tav: 15.2
[00:39:26] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 135.0/0.0 (S: 135.0/0.0) | Tav: 15.5
[00:39:30] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 115.0/0.0 (S: 115.0/0.0) | Tav: 10.6
[00:39:31] Max_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 115.0/0.0 (S: 115.0/0.0) | Tav: 16.7
[00:39:31] Max_Sorrentino sebzest kapott tole: Matt_Creed | sebzes: AK47 (-9.9) | E/P: 95.0/0.0 (S: 95.0/0.0) | Tav: 14.6
