[00:13:40] Johan_B_Black sebzest kapott tole: Cseszka_R_Davidson | sebzes: Ököl (-1.3) | E/P: 124.6/2.3 (S: 124.6/2.3) | Tav: 0.6
[00:13:41] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 56.7/0.0 (S: 56.7/0.0) | Tav: 0.6
[00:13:41] Johan_B_Black sebzest kapott tole: Cseszka_R_Davidson | sebzes: Ököl (-1.3) | E/P: 124.6/1.0 (S: 124.6/1.0) | Tav: 0.7
[00:13:42] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-2.6) | E/P: 50.1/0.0 (S: 50.1/0.0) | Tav: 0.7
[00:13:42] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 47.5/0.0 (S: 47.5/0.0) | Tav: 0.8
[00:13:43] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 45.8/0.0 (S: 45.8/0.0) | Tav: 0.7
[00:13:44] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-2.6) | E/P: 41.5/0.0 (S: 41.5/0.0) | Tav: 0.6
[00:13:45] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 38.9/0.0 (S: 38.9/0.0) | Tav: 0.7
[00:13:49] Johan_B_Black sebzest kapott tole: Cseszka_R_Davidson | sebzes: Ököl (-1.3) | E/P: 124.3/0.0 (S: 124.3/0.0) | Tav: 1.0
[00:13:52] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 37.2/0.0 (S: 37.2/0.0) | Tav: 0.5
[00:13:52] Johan_B_Black sebzest kapott tole: Cseszka_R_Davidson | sebzes: Ököl (-1.9) | E/P: 123.0/0.0 (S: 123.0/0.0) | Tav: 0.4
[00:13:53] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 35.6/0.0 (S: 35.6/0.0) | Tav: 0.6
[00:13:54] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 31.3/0.0 (S: 31.3/0.0) | Tav: 0.7
[00:13:58] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-2.6) | E/P: 24.7/0.0 (S: 24.7/0.0) | Tav: 0.7
[00:13:59] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 22.1/0.0 (S: 22.1/0.0) | Tav: 0.7
[00:14:00] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 20.4/0.0 (S: 20.4/0.0) | Tav: 0.7
[00:14:01] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 16.1/0.0 (S: 16.1/0.0) | Tav: 0.7
[00:14:01] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 0.7
[00:14:02] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 0.7
[00:14:02] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 0.7
[00:14:03] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 0.7
[00:14:04] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 0.7
[00:14:05] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 10.7/0.0 (S: 10.7/0.0) | Tav: 0.7
[00:14:06] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 4.1/0.0 (S: 4.1/0.0) | Tav: 0.7
[00:14:11] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-1.3) | E/P: 150.0/74.9 (S: 150.0/74.9) | Tav: 0.9
[00:14:11] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-1.9) | E/P: 150.0/73.5 (S: 150.0/73.5) | Tav: 0.7
[00:14:12] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-5.2) | E/P: 150.0/71.6 (S: 150.0/71.6) | Tav: 0.7
[00:14:16] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-1.9) | E/P: 150.0/66.3 (S: 150.0/66.3) | Tav: 1.3
[00:14:17] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-5.2) | E/P: 150.0/64.3 (S: 150.0/64.3) | Tav: 0.6
[00:14:31] Tom_Camorra sebzest kapott tole: Costa_Miles | sebzes: Ököl (-1.3) | E/P: 150.0/59.0 (S: 150.0/59.0) | Tav: 0.7
[00:18:23] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Deagle (-23.1) | E/P: 60.0/84.1 (S: 60.0/84.1) | Tav: 4.3
[00:18:48] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Deagle (-23.1) | E/P: 60.0/84.1 (S: 60.0/84.1) | Tav: 15.2
[00:18:54] Dominic_Vincenzo sebzest kapott tole: Aldo_B_Dueno | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 76.2
[00:18:55] Dominic_Vincenzo sebzest kapott tole: Aldo_B_Dueno | sebzes: Sniper (-41.2) | E/P: 150.0/58.7 (S: 150.0/58.7) | Tav: 75.1
[00:19:05] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Deagle (-23.1) | E/P: 60.0/84.1 (S: 60.0/84.1) | Tav: 23.4
[00:19:19] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Deagle (-23.1) | E/P: 60.0/84.1 (S: 60.0/84.1) | Tav: 2.3
[00:19:22] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Deagle (-23.1) | E/P: 60.0/49.5 (S: 60.0/49.5) | Tav: 2.3
[00:20:46] Zero_Hopkins sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-1.3) | E/P: 102.0/98.0 (S: 102.0/98.0) | Tav: 0.7
[00:20:47] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-1.3) | E/P: 60.0/49.5 (S: 60.0/49.5) | Tav: 0.7
[00:20:48] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-1.3) | E/P: 60.0/48.1 (S: 60.0/48.1) | Tav: 1.1
[00:20:49] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-1.3) | E/P: 60.0/46.8 (S: 60.0/46.8) | Tav: 1.2
[00:20:49] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-2.3) | E/P: 60.0/45.5 (S: 60.0/45.5) | Tav: 1.2
[00:20:50] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-3.9) | E/P: 60.0/43.2 (S: 60.0/43.2) | Tav: 1.0
[00:20:50] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-1.3) | E/P: 60.0/39.2 (S: 60.0/39.2) | Tav: 1.4
[00:20:51] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-2.3) | E/P: 60.0/37.9 (S: 60.0/37.9) | Tav: 1.3
[00:20:52] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-1.3) | E/P: 60.0/35.6 (S: 60.0/35.6) | Tav: 1.4
[00:20:52] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-2.3) | E/P: 60.0/34.3 (S: 60.0/34.3) | Tav: 0.6
[00:20:53] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-3.9) | E/P: 60.0/32.0 (S: 60.0/32.0) | Tav: 1.0
