[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/93.0 (S: 150.0/93.0) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/92.7 (S: 150.0/92.7) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/92.4 (S: 150.0/92.4) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/92.0 (S: 150.0/92.0) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/91.7 (S: 150.0/91.7) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/91.4 (S: 150.0/91.4) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/91.0 (S: 150.0/91.0) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/90.7 (S: 150.0/90.7) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/90.4 (S: 150.0/90.4) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/90.0 (S: 150.0/90.0) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/89.7 (S: 150.0/89.7) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/89.4 (S: 150.0/89.4) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/89.1 (S: 150.0/89.1) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/88.7 (S: 150.0/88.7) | Tav: 2.4
[01:59:56] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Spray (-0.3) | E/P: 150.0/88.4 (S: 150.0/88.4) | Tav: 2.4
[02:06:51] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/88.1 (S: 150.0/88.1) | Tav: 0.6
