[01:09:52] Connor_O_Neill sebzest kapott tole: Costa_Miles | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[01:51:05] Ellstag_Scaletta sebzest kapott tole: Adam_Brau | sebzes: Ököl (-1.3) | E/P: 58.7/5.0 (S: 58.7/5.0) | Tav: 0.9
[01:58:17] Ellstag_Scaletta sebzest kapott tole: Adam_Brau | sebzes: Ököl (-1.3) | E/P: 58.7/5.0 (S: 58.7/5.0) | Tav: 1.3
[01:58:19] Ellstag_Scaletta sebzest kapott tole: Adam_Brau | sebzes: Ököl (-1.3) | E/P: 58.7/5.0 (S: 58.7/5.0) | Tav: 0.8
[01:58:32] Ellstag_Scaletta sebzest kapott tole: Adam_Brau | sebzes: Ököl (-1.3) | E/P: 58.7/3.6 (S: 58.7/3.6) | Tav: 1.7
[01:58:49] Ellstag_Scaletta sebzest kapott tole: Adam_Brau | sebzes: Ököl (-1.3) | E/P: 58.7/3.6 (S: 58.7/3.6) | Tav: 0.6
[01:58:52] Ellstag_Scaletta sebzest kapott tole: Adam_Brau | sebzes: Ököl (-1.3) | E/P: 58.7/2.3 (S: 58.7/2.3) | Tav: 0.9
[01:58:52] Ellstag_Scaletta sebzest kapott tole: Adam_Brau | sebzes: Ököl (-1.3) | E/P: 58.7/2.3 (S: 58.7/2.3) | Tav: 0.6
[01:58:53] Ellstag_Scaletta sebzest kapott tole: Adam_Brau | sebzes: Ököl (-1.3) | E/P: 58.7/1.0 (S: 58.7/1.0) | Tav: 1.0
[01:59:44] Ellstag_Scaletta sebzest kapott tole: Adam_Brau | sebzes: Ököl (-1.3) | E/P: 58.7/1.0 (S: 58.7/1.0) | Tav: 0.7
[02:00:51] Ellstag_Scaletta sebzest kapott tole: Adam_Brau | sebzes: Ököl (-1.3) | E/P: 58.4/0.0 (S: 58.4/0.0) | Tav: 0.7
[02:06:49] NPC_Buszsofor_LS sebzest kapott tole: Ellstag_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 3.3
[02:07:26] NPC_Buszsofor_LS sebzest kapott tole: Ellstag_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.7
[02:07:27] NPC_Buszsofor_LS sebzest kapott tole: Ellstag_Scaletta | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.7
[02:07:27] NPC_Buszsofor_LS sebzest kapott tole: Ellstag_Scaletta | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.5
[02:07:28] NPC_Buszsofor_LS sebzest kapott tole: Ellstag_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.1
[02:07:28] NPC_Buszsofor_LS sebzest kapott tole: Ellstag_Scaletta | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.2
[02:07:30] NPC_Buszsofor_LS sebzest kapott tole: Ellstag_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.9
[02:07:30] NPC_Buszsofor_LS sebzest kapott tole: Ellstag_Scaletta | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.9
[07:40:23] Paul_D_Cortez sebzest kapott tole: Stefan_Aciano | sebzes: Ököl (-6.6) | E/P: 120.0/5.0 (S: 120.0/5.0) | Tav: 1.0
[08:14:04] Carl_J_Creed sebzest kapott tole: Mark_Oliver | sebzes: Ököl (-1.3) | E/P: 130.0/5.0 (S: 130.0/5.0) | Tav: 1.0
[08:52:15] Keny_Da_Silva sebzest kapott tole: CarloS_D_Garcia | sebzes: AK47 (-9.9) | E/P: 120.0/100.0 (S: 120.0/100.0) | Tav: 37.3
[09:00:24] Mate_Richard sebzest kapott tole: Kiraly_Hunor | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.1
[09:06:11] Jack_Thomson sebzest kapott tole: Kiraly_Hunor | sebzes: Ököl (-1.3) | E/P: 32.0/5.0 (S: 32.0/5.0) | Tav: 0.9
[09:06:12] Jack_Thomson sebzest kapott tole: Kiraly_Hunor | sebzes: Ököl (-2.6) | E/P: 32.0/5.0 (S: 32.0/5.0) | Tav: 1.3
[09:06:37] Kiraly_Hunor sebzest kapott tole: Jack_Thomson | sebzes: MP5 (-8.2) | E/P: 30.0/5.0 (S: 30.0/5.0) | Tav: 4.4
[09:06:42] Kiraly_Hunor sebzest kapott tole: Jack_Thomson | sebzes: MP5 (-8.2) | E/P: 30.0/5.0 (S: 30.0/5.0) | Tav: 4.6
[09:06:47] Kiraly_Hunor sebzest kapott tole: Jack_Thomson | sebzes: MP5 (-8.2) | E/P: 30.0/5.0 (S: 30.0/5.0) | Tav: 11.7
[09:06:47] Kiraly_Hunor sebzest kapott tole: Jack_Thomson | sebzes: MP5 (-8.2) | E/P: 30.0/5.0 (S: 30.0/5.0) | Tav: 11.6
[09:06:47] Kiraly_Hunor sebzest kapott tole: Jack_Thomson | sebzes: MP5 (-8.2) | E/P: 30.0/5.0 (S: 30.0/5.0) | Tav: 11.2
