[13:54:25] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[13:54:26] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[13:54:26] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[13:54:27] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[13:54:27] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[13:54:28] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-2.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[13:54:28] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-3.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.8
[13:54:29] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[13:54:29] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[13:54:40] Max_Navarro sebzest kapott tole: Jason_Toretto | sebzes: Ököl (-1.3) | E/P: 67.8/100.0 (S: 67.8/100.0) | Tav: 0.8
[13:54:40] Max_Navarro sebzest kapott tole: Jason_Toretto | sebzes: Ököl (-1.3) | E/P: 67.8/100.0 (S: 67.8/100.0) | Tav: 0.6
[13:54:41] Max_Navarro sebzest kapott tole: Jason_Toretto | sebzes: Ököl (-2.3) | E/P: 67.8/100.0 (S: 67.8/100.0) | Tav: 0.6
[13:54:41] Max_Navarro sebzest kapott tole: Jason_Toretto | sebzes: Ököl (-3.9) | E/P: 67.8/100.0 (S: 67.8/100.0) | Tav: 0.6
[13:54:48] Max_Navarro sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 67.8/100.0 (S: 67.8/100.0) | Tav: 0.8
[13:54:59] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.9
[13:55:00] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.9
[13:55:00] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.9
[13:55:00] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.9
[13:55:00] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.9
[13:55:00] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.9
[13:55:00] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.9
[13:55:00] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.9
[13:55:01] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.9
[13:55:01] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.9
[13:55:14] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[13:55:32] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.3
[13:55:33] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.1
[13:55:33] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.9
[13:55:34] Max_Navarro sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 67.8/98.6 (S: 67.8/98.6) | Tav: 0.4
[13:55:36] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[13:55:36] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[13:55:37] Jason_Toretto sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
