[08:22:31] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.5
[08:22:31] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.4
[08:22:31] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.2
[08:22:32] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:32] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:32] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:32] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:32] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:32] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:32] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:32] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:32] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:32] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:33] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:33] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:33] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:33] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:33] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:33] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:33] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:33] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:33] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:33] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:33] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:33] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:33] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:34] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:34] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:34] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:34] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:34] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:34] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:34] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:34] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:34] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:34] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:34] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:35] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:35] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:35] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:35] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:35] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:35] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:35] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:35] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:35] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:35] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:35] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:35] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:35] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:35] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:36] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:36] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:36] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:36] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:36] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:36] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:36] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:36] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:36] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:36] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:37] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 5.0
[08:22:37] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:37] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:37] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:37] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 5.0
[08:22:38] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.9
[08:22:38] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.7
[08:22:38] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.5
[08:22:38] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.3
[08:22:38] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.1
[08:22:38] Barney_Stinson sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 4.0
[08:22:39] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 3.2
[08:22:39] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 3.4
[08:22:39] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 3.6
[08:22:39] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 3.8
[08:22:40] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.0
[08:22:40] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.1
[08:22:40] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
[08:22:40] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
[08:22:41] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
[08:22:41] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
[08:22:41] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
[08:22:41] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
[08:22:41] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
[08:22:41] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
[08:22:42] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
[08:22:42] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
[08:22:42] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
[08:22:42] William_W_Andrews sebzest kapott tole: Barney_Stinson | sebzes: M4 (-9.9) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 4.4
