[00:49:12] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 135.4/0.0 (S: 135.4/0.0) | Tav: 0.7
[00:49:13] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 134.1/0.0 (S: 134.1/0.0) | Tav: 0.7
[00:49:13] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 132.8/0.0 (S: 132.8/0.0) | Tav: 0.7
[00:49:14] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 130.5/0.0 (S: 130.5/0.0) | Tav: 0.7
[00:49:15] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 128.5/0.0 (S: 128.5/0.0) | Tav: 0.7
[00:49:16] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 123.2/0.0 (S: 123.2/0.0) | Tav: 0.7
[00:49:16] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 121.2/0.0 (S: 121.2/0.0) | Tav: 0.7
[00:49:17] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 116.0/0.0 (S: 116.0/0.0) | Tav: 0.7
[00:49:18] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 114.0/0.0 (S: 114.0/0.0) | Tav: 0.7
[00:49:19] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 108.7/0.0 (S: 108.7/0.0) | Tav: 0.7
[00:49:19] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 106.7/0.0 (S: 106.7/0.0) | Tav: 0.7
[00:49:20] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 101.4/0.0 (S: 101.4/0.0) | Tav: 0.7
[00:49:21] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 99.5/0.0 (S: 99.5/0.0) | Tav: 0.7
[00:49:22] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 94.2/0.0 (S: 94.2/0.0) | Tav: 0.8
[00:50:06] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 92.2/0.0 (S: 92.2/0.0) | Tav: 1.2
[00:50:06] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 90.2/0.0 (S: 90.2/0.0) | Tav: 1.2
[00:50:07] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 88.9/0.0 (S: 88.9/0.0) | Tav: 1.1
[00:50:07] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 86.9/0.0 (S: 86.9/0.0) | Tav: 1.2
[00:50:08] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 84.6/0.0 (S: 84.6/0.0) | Tav: 1.1
[00:50:08] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 82.6/0.0 (S: 82.6/0.0) | Tav: 1.1
[00:50:09] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 77.3/0.0 (S: 77.3/0.0) | Tav: 1.2
[00:50:10] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 75.4/0.0 (S: 75.4/0.0) | Tav: 1.1
[00:50:11] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 70.1/0.0 (S: 70.1/0.0) | Tav: 1.1
[00:50:21] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 68.1/0.0 (S: 68.1/0.0) | Tav: 0.7
[00:50:22] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 68.1/0.0 (S: 68.1/0.0) | Tav: 0.7
[00:50:23] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 62.8/0.0 (S: 62.8/0.0) | Tav: 0.7
[00:57:35] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 56.2/0.0 (S: 56.2/0.0) | Tav: 1.1
[00:57:36] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 54.2/0.0 (S: 54.2/0.0) | Tav: 0.6
[00:57:37] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 49.0/0.0 (S: 49.0/0.0) | Tav: 0.7
[00:57:37] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 47.0/0.0 (S: 47.0/0.0) | Tav: 0.7
[00:57:38] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 41.7/0.0 (S: 41.7/0.0) | Tav: 0.7
