[09:05:13] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10.1
[09:05:25] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 14.1
[10:47:47] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-15.0) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 29.1
[10:47:47] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-15.0) | E/P: 150.0/135.0 (S: 150.0/135.0) | Tav: 29.1
[10:47:48] Krist_Roscoe sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 29.1
[10:47:51] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-15.0) | E/P: 150.0/120.0 (S: 150.0/120.0) | Tav: 29.1
[10:47:52] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-15.0) | E/P: 150.0/105.0 (S: 150.0/105.0) | Tav: 29.1
[10:47:52] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-15.0) | E/P: 150.0/90.0 (S: 150.0/90.0) | Tav: 29.1
[10:47:52] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-15.0) | E/P: 150.0/75.0 (S: 150.0/75.0) | Tav: 29.1
[10:47:52] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-15.0) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 29.1
[10:49:24] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: Ököl (-2.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[10:49:38] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: Ököl (-2.6) | E/P: 147.3/0.0 (S: 147.3/0.0) | Tav: 0.8
