[16:51:10] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 107.0/0.0 (S: 107.0/0.0) | Tav: 16.5
[16:51:16] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 87.0/0.0 (S: 87.0/0.0) | Tav: 29.7
[16:51:23] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 36.6
[16:51:34] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 33.4
[16:51:34] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 33.3
[16:51:35] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 9.9
[16:51:50] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 21.1
[16:51:51] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 17.4
[16:51:51] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 17.3
[16:52:14] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 22.6
[16:52:14] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 22.6
[16:52:14] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 22.6
[16:52:14] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 50.0/0.0 (S: 50.0/0.0) | Tav: 22.6
[16:52:15] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 22.6
[16:52:15] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 22.6
[16:52:15] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 44.0/0.0 (S: 44.0/0.0) | Tav: 22.6
[16:52:34] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 43.1
[16:52:53] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 24.0/0.0 (S: 24.0/0.0) | Tav: 45.2
[16:52:54] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 4.0/0.0 (S: 4.0/0.0) | Tav: 45.2
[16:53:17] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: Combat (-14.8) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 21.0
[16:53:17] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: Combat (-9.9) | E/P: 135.1/0.0 (S: 135.1/0.0) | Tav: 20.9
[16:53:22] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: Combat (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 21.0
[16:53:34] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 37.6
[16:53:34] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 38.1
[16:53:40] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 13.8
[16:53:42] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 35.4
[16:55:38] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 11.1
[16:55:45] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 135.0/0.0 (S: 135.0/0.0) | Tav: 36.9
[16:55:45] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 115.0/0.0 (S: 115.0/0.0) | Tav: 36.9
[16:55:53] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 13.2
[16:55:53] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 12.8
[16:55:53] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 12.2
[16:56:07] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 43.0
[16:56:07] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 43.1
[16:56:07] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 43.1
[16:56:15] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 29.3
[16:56:16] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 29.2
[16:56:16] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 29.2
[16:56:16] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 29.2
[16:56:18] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 23.1
[16:56:19] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 23.0
[16:56:25] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 3.7
[16:56:25] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 3.6
[16:56:25] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 3.5
[16:56:25] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 3.3
[16:56:25] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 3.2
[16:56:25] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 50.0/0.0 (S: 50.0/0.0) | Tav: 3.1
[16:56:25] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 2.9
[16:56:26] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 131.0/0.0 (S: 131.0/0.0) | Tav: 2.8
[16:56:35] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 37.5
