[00:08:49] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/93.4 (S: 150.0/93.4) | Tav: 0.9
[00:08:49] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/50.3 (S: 150.0/50.3) | Tav: 1.1
[00:08:50] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/43.7 (S: 150.0/43.7) | Tav: 1.1
[00:08:50] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/86.8 (S: 150.0/86.8) | Tav: 0.9
[00:08:50] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/80.2 (S: 150.0/80.2) | Tav: 0.9
[00:08:50] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/37.1 (S: 150.0/37.1) | Tav: 1.1
[00:08:50] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/30.5 (S: 150.0/30.5) | Tav: 1.1
[00:08:50] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/73.6 (S: 150.0/73.6) | Tav: 0.9
[00:08:51] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/23.9 (S: 150.0/23.9) | Tav: 1.1
[00:08:51] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/17.3 (S: 150.0/17.3) | Tav: 1.1
[00:08:52] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/10.7 (S: 150.0/10.7) | Tav: 1.1
[00:08:52] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/4.1 (S: 150.0/4.1) | Tav: 1.1
[00:08:52] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 147.5/0.0 (S: 147.5/0.0) | Tav: 1.1
[00:08:53] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 140.9/0.0 (S: 140.9/0.0) | Tav: 1.1
